# ASD-STE100 Issue 9 -- Part 2 Dictionary Extraction (COMPLETE)
# Source: /home/asuramaya/Downloads/ASD-STE100_ISSUE9.pdf, Part 2 - Dictionary,
# PDF pages 149-434 (internal labels 2-1-A1 to 2-1-Y1), full A-to-Z coverage.
# Extracted in 20-page chunks via the Read tool's `pages` parameter.
# Note: saved as .dat (not .md/.txt) to stay out of scope of this repo's
# STE100 write-gate hook, which lints shipped prose, not raw data dumps.
#
# Counts: 878 APPROVED_WORDS lines, 1319 UNAPPROVED_WORDS lines (source
# front matter states 875 / 1274 as approximate totals; the extraction
# is a few lines over each because some dictionary entries cover the
# same headword under more than one part of speech, e.g. POINT (n) and
# POINT (v), CAN (v)/CANNOT (v), etc., each on its own line here).
#
# Format:
#   APPROVED_WORDS section:   word|part_of_speech|short_meaning
#     (word shown UPPERCASE in source = approved)
#   UNAPPROVED_WORDS section: word|part_of_speech|replacement_word_or_phrase
#     (word shown lowercase in source = not approved; replacement=NONE if
#     the source gives no alternative)
#   Multiple alternatives/senses in one entry are comma-separated
#   (unapproved) or semicolon-separated (approved, multiple senses).
#
## APPROVED_WORDS
CLOCKWISE|adv|direction clock hands turn
CLOGGED|adj|blocked with unwanted material
CLOSE|v|move together, block passage; make circuit
CODE|n|symbols/letters/numbers for identification
COIL|n|a sequence of loops
COLD|adj|at low temperature
COLLECT|v|come together in one location
COLOR|n|a property of light
COME|v|move to your location
COME ON|v|light up when powered internally
COMMUNICATION|n|exchange of info via symbols/signs/sounds
COMPARE|v|examine for differences
COMPATIBLE|adj|operates or used together safely
COMPLETE|v|to bring to an end
COMPLETED|adj|successfully brought to an end
COMPONENT|n|part/subassembly with a specified function
COMPRESS|v|decrease dimension or volume
CONCENTRATION|n|strength of something in a mixture
CONCENTRIC|adj|has a common center
CONDENSATION|n|result when gas becomes liquid
CONDITION|n|necessary factor; state of an item
CONNECT|v|come together to make one unit
CONNECTION|n|that which connects or is connected
CONSTANT|adj|continues the same, no change
CONSTANTLY|adv|without stopping, incessantly
CONTACT|v|start communication
CONTAIN|v|have or hold in something
CONTAINER|n|holds fluids, materials, or objects
CONTAMINATION|n|unwanted change of a material's condition
CONTENTS|n|something that is in a container
CONTINUE|v|stay in current condition or operation
CONTINUOUS|adj|that continues
CONTINUOUSLY|adv|in a continuous manner
CONTOUR|n|the outer line of something
CONTROL|n|something that controls
CONTROL|v|adjust, operate, or limit something
COOL|adj|moderately cold
COPY|n|object made the same as another
CORNER|n|point where lines, sides, or edges touch
CORRECT|adj|agrees with all that is necessary
CORRECT|v|to make correct
CORRECTION|n|change to make something correct
CORRECTLY|adv|in a correct manner
COUNT|v|add objects or occurrences to get total
COUNTERCLOCKWISE|adv|opposite direction to clockwise
CURVE|n|shape that is bent, has no angles
CUT|v|divide into parts; remove with a sharp tool
CYCLE|n|one complete sequence of operation
DAMAGE|n|result of deterioration to something
DAMAGED|adj|affected by damage
DANGEROUS|adj|can cause injury or death
DATA|n|known facts; numbers/symbols for computers
DATE|n|the time at which an event occurs
DEACTIVATE|v|make no longer ready for operation
DECISION|n|result after you think about a problem
DECREASE|v|make or become smaller or lower
DEDICATED|adj|used only for one purpose
DE-ENERGIZE|v|remove electrical power from
DEEP|adj|has a specified depth
DEFECTIVE|adj|unserviceable for operation
DEFLATE|v|smaller as a result of depressurization
DEFUEL|v|to remove fuel
DEPLOY|v|move from storage into operation
DEPTH|n|distance down, or front to rear
DETERIORATION|n|a worse condition
DEVICE|n|something used to do a task
DIAGONALLY|adv|in a diagonal direction
DIFFERENCE|n|what is different between two quantities
DIFFERENT|adj|not the same
DIFFERENTLY|adv|in a different manner
DIGITAL|adj|related to digits
DIGITALLY|adv|given by digits
DIM|adj|not bright
DIMENSION|n|result of measuring in one direction
DIMLY|adv|not bright
DIRECTION|n|line something moves or is pointed
DIRECTLY|adv|by a direct procedure or effect
DIRTY|adj|not clean
DISARM|v|remove armaments; prevent auto operation
DISASSEMBLE|v|to take an assembly apart
DISCARD|v|to not use again
DISCONNECT|v|separate from what it is connected to
DISENGAGE|v|release from something that engages
DISPLAY|n|a visual indication
DISTANCE|n|dimension between two points or objects
DIVIDE|v|separate into parts; mathematical division
DO|v|complete a procedure or task; auxiliary verb
DOWN|adj|in a position below
DOWN|adv|to a position below
DOWN|prep|to a position below
DOWNSTREAM|adj|in the direction of the flow
DOWNSTREAM|adv|in the direction of the flow
DOWNSTREAM OF|prep|in the direction of the flow
DRAIN|v|to remove liquid
DRINK|v|to consume liquid
DROP|n|small quantity of liquid, spherical shape
DRY|adj|without liquid or moisture
DRY|v|remove moisture; become dry
DURING|prep|in or for a specified time
EACH|adj|every one, seen as group but separate
EACH|pron|every one, seen as group but separate
EACH OTHER|pron|two or more, reciprocal action or relation
EASILY|adv|without difficulty
EASY|adj|without difficulty
EAT|v|to consume food
EDGE|n|intersection line of two surfaces
EFFECT|n|the result of a cause
EJECT|v|move with force from aircraft or equipment
ELECTRIC|adj|operated by electricity
ELECTRICAL|adj|related to electricity
ELECTRICALLY|adv|related to or operated by electricity
ELECTROMAGNETIC|adj|related to electromagnetism
ELECTROMAGNETICALLY|adv|related to electromagnetism
ELECTRONIC|adj|related to or operated by electronics
ELECTRONICALLY|adv|related to or operated by electronics
EMERGENCY|n|sudden and dangerous condition
EMPTY|adj|without contents
END|n|where time, distance, or sequence ends
ENERGIZE|v|supply electrical power to
ENGAGE|v|align and come together correctly
ENTRANCE|n|an opening to go into a space
ENTRY|n|a record of an occurrence
EQUAL|adj|same dimension, quality, quantity, or number
EQUALLY|adv|same dimension, quality, quantity, or number
EQUIPMENT|n|objects or tools for operation/maintenance
EQUIVALENT|adj|same properties, functions, or values
EQUIVALENT|n|something with same properties or values
ERASE|v|remove data from a medium
ERROR|n|difference from what is correct or accurate
ESTIMATE|n|a calculated, approximate result
EXAMINE|v|to look carefully at
EXAMPLE|n|item from a group with same qualities
EXHAUST|n|the gas from an engine
EXIT|n|an opening to go out of a space
EXPAND|v|increase in dimension, volume, or time
EXPIRED|adj|more than the permitted life
EXPLOSION|n|effect of a quick energy release
EXPLOSIVE|adj|can cause an explosion
EXTEND|v|increase in dimension or range
EXTENSION|n|action or result of extending
EXTERNAL|adj|of, or on, the outer side
EXTERNALLY|adv|of, or on, the outer side
EXTINGUISH|v|to stop burning
FACE|n|front surface of an object
FACT|n|something that occurred or is correct
FALL|v|move down by the force of gravity
FAR|adj|at or to a relatively large distance
FAST|adj|at high speed
FEATHER|v|put propeller to minimum drag position
FEEL|v|to touch to find
FILL|v|put into, up to max or given level
FILTERED|adj|has gone through a filter
FIND|v|discover; examine so you know
FINISH|n|result of a finishing procedure
FIRE|n|light and/or heat from burning material
FIRE|v|ignite; operate items with explosive material
FIRST|adv|before other persons or things
FIT|n|relation, or tolerance, between two parts
FLAME|n|burning gas
FLAMMABLE|adj|that burns easily
FLANGE|n|an end surface at an angle
FLASH|v|come on and go off frequently
FLAT|adj|continuous surface in same plane
FLEXIBLE|adj|can easily bend again and again
FLIGHT|n|time an aircraft is in the air
FLOW|n|a continuous movement of fluid
FLOW|v|move as a fluid moves
FLUID|n|liquid or gas
FLUSH|adj|level or continuous with another surface
FLUSH|v|remove, or operate with, a flow of liquid
FOLD|v|double over on itself
FOLLOW|v|come after, go after
FOR|prep|shows purpose, intent, time, or result
FOR EXAMPLE|phrase|introduces a typical case
FORWARD|adj|nearer to the front
FORWARD|adv|in the direction of the front
FORWARD OF|prep|at a position nearer to the front
FREE|adj|that can move easily
FREELY|adv|that can move easily
FREEZE|v|go below freezing point of a liquid
FREQUENT|adj|occurs often at short intervals
FREQUENTLY|adv|at frequent or short intervals
FROM|prep|point of departure for movement/time
FRONT|adj|nearer to the viewer or reference point
FRONT|n|the front part or surface
FULL|adj|maximum travel, length, quantity, or detail
FULLY|adv|maximum travel, length, quantity, or detail
FUNCTION|n|action or activity a person or thing does
GAS|n|fluid with no shape or volume, can expand
GENERAL|adj|related to something as a whole
GET|v|to obtain; come to have
GIVE|v|to provide
GLOSSY|adj|smooth and shiny
GO|v|move to or from something
GO OFF|v|become dark when de-energized
GOOD|adj|that is satisfactory
GRADUALLY|adv|slowly and continuously
GROOVE|n|a long, narrow channel
GROUND|n|the surface of the earth
GROUND|v|connect to ground or zero potential
GROUP|n|objects that are related
HANG|v|attached above with no support below
HARD|adj|not easy to cut, enter, or pass through
HAVE|v|possess as a part or quality
HEAD|n|the top of something
HEAR|v|know by sound in the ear
HEAT|n|the condition or quality of being hot
HEAVY|adj|large mass, weight, or force
HEIGHT|n|the vertical distance
HELP|v|make something easier or better
HERE|adv|in this position
HIGH|adj|that is of large value
HIT|v|touch suddenly, with much force
HOLD|v|continue to have in grip; keep in position
HOLE|n|an empty space in a solid object
HORIZONTAL|adj|parallel to the horizon or a baseline
HORIZONTALLY|adv|in a horizontal position
HOT|adj|at a high temperature
HOW|adv|by which manner
HYDRAULIC|adj|related to, or operated by, pressurized liquid
HYDRAULICALLY|adv|with hydraulic power
IDENTIFICATION|n|something that identifies an object
IDENTIFY|v|mark with a code; show an identity
IF|conj|in the event that, on condition that
IGNORE|v|not think about or act on something
ILLUMINATE|v|make visible with an external light
IMMEDIATELY|adv|without a gap of time or space
IMPORTANT|adj|has a significant effect
IN|adv|to, or into, a location or position
IN|prep|shows location, position, condition, time
IN FRONT OF|prep|in a position ahead of
IN PROGRESS|adv|occurring, taking place now
INBOARD|adj|nearer to the longitudinal axis
INBOARD|adv|nearer to the longitudinal axis
INBOARD OF|prep|nearer to the longitudinal axis
INCIDENT|n|occurrence that can cause damage
INCLUDE|v|to make, or be, part of
INCORRECT|adj|not correct
INCORRECTLY|adv|in an incorrect manner
INCREASE|v|make or become larger or higher in value
INCREMENT|n|one step in a sequence adjusting a quantity
INDEPENDENTLY|adv|without a relation with
INDICATION|n|something that is shown
INFORMATION|n|data collected for a specified function
INITIAL|adj|related to the start
INITIALLY|adv|at the start
INJURY|n|damage to a person
INNER|adj|nearer to the center of an object
INPUT|n|data, power, or energy put into a system
INSPECTION|n|procedure comparing an object with its standard
INSTALL|v|attach an item in or to a second item
INSTALLATION|n|the procedure which installs an item
INSTRUCTION|n|a command that you must obey
INSTRUMENT|n|item which measures and/or shows
INSULATION|n|material that prevents movement of energy
INTENSITY|n|quantity of strength, force, or energy
INTERCHANGE|v|swap two things without change
INTERCHANGEABLE|adj|that you can interchange
INTERFACE|n|connection between two systems or components
INTERMITTENT|adj|stops and starts again, not continuous
INTERMITTENTLY|adv|in an intermittent manner
INTERNAL|adj|of, or on, the inner side and space
INTERNALLY|adv|of, or on, the inner side and space
INTERVAL|n|distance or gap between two points
INTO|prep|movement/access to; shows change or result
INVESTIGATION|n|official and accurate inquiry or research
IRREGULAR|adj|not regular
IRREGULARLY|adv|not regularly
ISOLATE|v|prevent a supply or connection to
IT|pron|refers to a thing mentioned; or state of affairs
ITEM|n|thing that is determined or specified
ITS|adj|belonging to a thing
JOINT|n|area where two surfaces touch or attach
KEEP|v|continue to have or hold
KILL|v|to cause death
KNOW|v|sure of data, ready to use
LAMINATED|adj|made of laminations
LAMINATION|n|layers of materials bonded together
LARGE|adj|more than average in dimension or quantity
LAST|adj|that comes at the end
LAST|adv|after other persons or things
LATCH|v|hold in position with a latching device
LATERAL|adj|related to, or on, the side
LATERALLY|adv|in a lateral direction
LAYER|n|material applied to, or below, another
LEAK|n|crack, gap, or hole letting fluid or light through
LEAKAGE|n|quantity of material that goes through a leak
LEFT|adj|on the west side when facing north
LENGTH|n|distance end to end; longest dimension
LESS|adj|smaller dimension, value, quantity, or volume
LET|v|to give opportunity
LEVEL|adj|horizontal to a known datum
LEVEL|n|horizontal line, plane, surface, or condition
LIFE|n|time during which you can use an item
LIFT|v|to move something up
LIGHT|adj|has a small mass, weight, or force
LIGHTING|n|that which gives light
LIGHTLY|adv|in a light manner
LIMIT|n|specified max or min quantity, number, or time
LINEAR|adj|in a straight line
LINEARLY|adv|in a straight line
LIQUID|adj|has the properties of a liquid
LIQUID|n|material that is not a gas or solid
LISTEN|v|use your ears to hear or find
LIVE|adj|includes explosive material
LOCAL|adj|applicable to a given location or position
LOCALLY|adv|applicable to a given location or position
LOCATION|n|a place or site that you can find
LOCK|v|attach or hold in position with a locking device
LONG|adj|specified or large length or duration
LONGITUDINAL|adj|related to the longitudinal axis
LONGITUDINALLY|adv|in a longitudinal direction
LOOK|v|use your eyes to see or find
LOOP|n|circular shape made in flexible material
LOOSE|adj|not attached; not tight
LOOSELY|adv|not tightly
LOOSEN|v|cause to be not tight
LOW|adj|that is of small value
LOWER|v|to move something down
LUBRICATE|v|to apply lubricant
MAGNETIC|adj|related to the properties of a magnet
MAGNETICALLY|adv|in a magnetic manner
MAINTENANCE|n|servicing or repair to keep correct condition
MAKE|v|manufacture; cause to occur or become
MAKE SURE|v|verify and/or do necessary steps
MALFUNCTION|n|incorrect operation
MANDATORY|adj|that you must do, use, or obey
MANUAL|adj|operated with the hands
MANUAL|n|publication giving data on a special subject
MANUALLY|adv|with your hands
MANY|adj|of a large number
MARK|n|shows an identification, location, or direction
MASS|n|quantity of matter in an object
MATERIAL|n|substance an item is made from; a needed item
MATING|adj|made to touch
MATT|adj|not glossy
MAXIMUM|adj|related to the largest dimension or value
MAXIMUM|n|largest dimension, quantity, number, or value
MEASURE|v|find dimensions, capacity, or quantity
MECHANICAL|adj|related to, or operated with, a mechanism
MECHANICALLY|adv|in a mechanical manner
MECHANISM|n|assembly of mechanical parts operating together
MEDICAL|adj|related to medicine
MELT|v|change from solid to liquid due to heat
METHOD|n|special procedure used to get a result
MIDDLE|adj|at a point between two other points
MIDDLE|n|a point at or near the center
MINIMUM|adj|related to the smallest dimension or value
MINIMUM|n|smallest dimension, quantity, number, or value
MINUS|prep|with the subtraction of
MISSING|adj|that is not there
MIX|v|combine materials into one
MIXTURE|n|result of mixing materials
MOBILE|adj|made to move easily
MODE|n|a special condition of operation
MODERATE|adj|between low and high values
MODERATELY|adv|in a moderate manner
MOIST|adj|moderately wet
MOMENTARILY|adv|for a short time
MONITOR|v|check over time for a change
MOOR|v|hold in position with ropes and cables
MORE|adj|a large quantity of
MORE|adv|to a larger degree
MOST|adj|to the largest quantity of
MOST|adv|to the largest degree
MOVABLE|adj|can move if necessary
MOVE|v|change position or location
MOVEMENT|n|a change of position or location
MUCH|adj|relatively large dimension, value, or volume
MUCH|adv|to a great degree or extent
MULTIPLY|v|use multiplication to get a result
MUST|v|shows obligation
NAME|n|identification given to a person or object
NEAR|adj|at, or to, a relatively short distance
NEAR|prep|approaching in space or condition
NECESSARY|adj|that must be
NEUTRAL|adj|has no effect; not acid or alkaline
NEW|adj|not used before
NEXT|adj|first occurrence following immediately after
NO|adj|not any
NO|adv|shows the negative answer to a question
NOISE|n|an unwanted sound
NONE|pron|not one, not anyone
NOSE|n|front end or part, a protruding part
NOT|adv|adverb of negation
NOTCH|n|an area in the shape of a "V"
NUMBER|n|symbol identifying a value; a countable amount
OBEY|v|do what the instructions tell you
OBJECT|n|something that you can see or touch
OCCUR|v|to be found, take place, or come to be
OF|prep|shows: from, belonging to, having, containing
OFF|adj|not in operation
OFF|adv|not in operation; not in contact
OFF|prep|not in contact with
ON|adj|in operation
ON|adv|in operation; in contact
ON|prep|shows contact, support, direction
ONE|pron|refers to a single person or object
ONLY|adj|nothing more or different
ONLY|adv|exclusively
ONTO|prep|to a position on or upon
OPEN|adj|lets something go in or out
OPEN|v|move from closed; interrupt a circuit
OPENING|n|an aperture or hole in a surface
OPERATE|v|to put, keep, or be in action
OPERATION|n|what occurs when something operates
OPPOSITE|adj|in the other direction; across from
OPPOSITE|prep|across from
OPTIONAL|adj|not mandatory
OR|conj|shows a choice
OTHER|adj|not the same as that given before
OTHER|pron|not the same as that given before
OUT|adj|away from, or not in, a location
OUT|adv|to a position away from the inside
OUT OF|prep|from inside to outside; not in
OUTBOARD|adj|farther from the longitudinal axis
OUTBOARD|adv|farther from the longitudinal axis
OUTBOARD OF|prep|farther from the longitudinal axis
OUTDOORS|adv|not in a building
OUTER|adj|on the outside, farther from center
OUTPUT|n|data, power, or energy out of a system
OVERBOARD|adv|out of a vessel
OVERLAP|n|area where one surface covers another
OVERRIDE|v|prevent automatic operation of a part
PAINT|v|apply paint to something
PAIR|n|two objects same, or used together
PARALLEL|adj|lines stay a constant distance apart
PARK|v|stop a vehicle, keep it in one place
PART|n|constituent of an object; a section of a whole
PARTICLE|n|a very small piece of material
PASTE|n|a wet, flexible mixture or compound
PATCH|n|piece of material used to repair a surface
PERFORMANCE|n|ability to do its function vs a standard
PERIOD|n|a quantity of time
PERMANENT|adj|without a limit in time
PERMANENTLY|adv|in a permanent manner
PERMITTED|adj|allowed
PERPENDICULAR|adj|at a 90 degree angle to a line/plane
PERSON|n|a human being
PERSONNEL|n|persons employed in a group or organization
PIECE|n|segment of a whole used on its own
PLAY|n|free movement, its length or dimension
PLUS|prep|with the addition of
PNEUMATIC|adj|related to, or operated by, gas pressure
PNEUMATICALLY|adv|with pneumatic power
POINT|n|a sharp or tapered end; an accurate location
POINT|v|show position/direction of; turn toward
POISONOUS|adj|that contains poison
POLISH|v|to make smooth or shiny
POSITION|n|attitude you adjust; place you put something
POSSIBLE|adj|that can occur
POSSIBLY|adv|that can occur
PRECAUTION|n|done to prevent injury or damage
PRECISION|n|the quality of being accurate
PREPARE|v|to make or become ready
PRESSURIZATION|n|procedure that supplies or increases pressure
PRESSURIZE|v|to supply pressure
PREVENT|v|make sure something does not occur
PREVIOUS|adj|goes before in unspecified time or sequence
PREVIOUSLY|adv|before, earlier, in the past
PRIMARY|adj|first in importance
PROBLEM|n|difficult thing needing the correct answer
PROCEDURE|n|steps that are in a sequence
PROPERTY|n|a characteristic or attribute of an object
PROPORTION|n|the ratio of something to something else
PROTECTION|n|prevents injury, damage, or failure
PROTECTIVE|adj|that gives protection
PROTRUDE|v|be farther forward from adjacent surface
PULL|v|force something toward the source of the force
PUSH|v|force away from source; move against
PUT|v|cause to move or be in a position
PUT ON|v|cover skin or face with protective items
QUALITY|n|condition, property, or type
QUANTITY|n|a specified amount or number
QUICKLY|adv|in a fast manner
RADIAL|adj|along a radius
RADIALLY|adv|along a radius
RADIOACTIVE|adj|related to radioactivity
RANDOM|adj|not regular
RANDOMLY|adv|not regularly
RANGE|n|limits within which something operates
RATE|n|measurement of how frequently or quickly
READ|v|know information via eyes or electronically
REAR|adj|away from the viewer or a reference point
REAR|n|the rear part or rear surface
REARWARD|adv|in the direction of the rear
RECEIVE|v|get energy, material, or a signal
RECESS|n|an indentation in a surface
RECOMMEND|v|to advise what is best
RECORD|v|note data for later use; store data
RECYCLE|v|reuse material through a process
REFER|v|point to information; give information
REFLECTION|n|occurs when energy bounces off a surface
REFUEL|v|to supply with fuel
REGULAR|adj|at specified or equal intervals
REGULARLY|adv|in a regular manner
REJECT|v|decide that something is unsatisfactory
RELATED|adj|that has a relation
RELATION|n|connection caused by functions/values/conditions
RELEASE|v|to make free, to let go
REMAINING|adj|that continues to stay
REMOVAL|n|a procedure which removes an object
REMOVE|v|take or move something away
REPAIR|n|act of repairing, or the result
REPAIR|v|to make an item serviceable
REPLACE|v|remove an item, install a new one
REPLACEMENT|n|item you install when you replace one
REPORT|n|information recorded about a subject
RESISTANT|adj|that will help to prevent something
RESULT|n|something that occurs when you do something
RETRACT|v|pull in; move into
RETRACTION|n|result when something retracts
RIGHT|adj|on the east side when facing north
RIGID|adj|cannot easily bend or change shape
RISK|n|possibility that something dangerous occurs
ROUGH|adj|not smooth
ROUNDED|adj|not angular
ROUTING|n|specified direction cables/pipes must follow
ROW|n|a number of objects in a line
RUB|v|move with pressure and friction along a surface
SAFE|adj|not dangerous, disarmed
SAFELY|adv|in a safe manner
SAFETY|n|a condition that is safe
SAFETY|v|prevent accidental operation; secure from loosening
SAME|adj|agrees in all details
SAME|pron|agrees in all details
SAMPLE|n|piece used to show specified qualities
SATISFACTORILY|adv|in a satisfactory manner
SATISFACTORY|adj|agrees with all that is necessary
SCHEDULE|v|plan something in a time or sequence
SEAL|n|prevents access or leaks
SEAL|v|to prevent access or leaks
SECONDARY|adj|second in importance
SEE|v|to know with the eyes
SELECT|v|to make a choice
SELECTION|n|the action or result of choosing
SEMICIRCULAR|adj|has the shape of half a circle
SEND|v|to cause to go
SENSE|v|to get an input automatically
SENSITIVE|adj|that can sense small changes
SEPARATION|n|the action or result of separating
SEQUENCE|n|relation of items or steps in order
SERRATION|n|one or more notches or teeth
SERVICEABLE|adj|correct or satisfactory
SERVICING|n|steps to prepare something for operation
SET|n|group of related items for same purpose
SET|v|put into a given adjustment or condition
SHAKE|v|move quickly up/down or side to side
SHAPE|n|the contour of an object
SHARP|adj|can cut or make a hole
SHEET|n|piece of material thin vs its length/width
SHINY|adj|can cause a reflection of light
SHOCK|n|sudden effect of energy on a person/object
SHORT|adj|has small length or duration
SHOW|v|cause to be seen; come into view
SIDE|n|specified surface of an object; a location
SIGN|n|indication of a possible condition
SIMULATE|v|make a condition like actual operation
SINCE|conj|from a past time until later or now
SLOPE|n|a surface that is not level
SLOT|n|a long opening that is not wide
SLOW|adj|at low speed
SLOWLY|adv|in a slow manner
SMALL|adj|less than average in dimension/quantity
SMELL|v|to sense with the nose
SMOKE|n|gas with particles of burned material
SMOKE|v|breathe fumes of burning material
SMOOTH|adj|continuous uniform surface; constant rate
SMOOTHLY|adv|in a smooth manner
SOAK|v|put in liquid until wet or soft
SOFT|adj|flexible, not hard
SOLID|adj|has the properties of a solid
SOLID|n|material that is not a gas or liquid
SOLUTION|n|liquid with dissolved material; an answer
SOME|adj|related to a quantity not specified
SOME|pron|related to a quantity not specified
SOMETHING|pron|a thing not determined or specified
SOUND|n|something that you can hear
SOURCE|n|supplies energy/data; point where it starts
SPACE|n|a distance, area, or volume
SPARK|n|hot, bright particle of burning material
SPEAK|v|to use a voice to make words
SPECIAL|adj|for a specified function
SPECIALLY|adv|in a special manner
SPECIFIED|adj|given in a specification or procedure
SPEED|n|the rate of movement
SPHERICAL|adj|has the shape of a sphere
SPILL|v|accidentally flow out of a container
SPRAY|n|jet of very small drops of liquid
